district,hazard,rp,contributer,tot_k_recipient_BE,tot_k_recipient_PE,dk_public_recipient,int_cost_BE,ext_cost_BE,frac_k_BE,tot_k_contributer,prov_assets_PE,frac_k_PE,transfer_pub_BE,transfer_pub_PE,PE_to_BE,dw
Ampara,PF,25.0,Matale,182023165047.55365,181806206854.11667,0.0,0.0,0.0,0.024550212328675398,173749124834.95,173749124834.95,0.02455096495126457,0.0,0.0,,
Ampara,PF,25.0,Moneragala,182023165047.55365,181806206854.11667,0.0,0.0,0.0,0.014967757049384706,105931250339.33514,105931250339.33514,0.014968215907822003,0.0,0.0,,
Ampara,PF,25.0,Mullaitivu,182023165047.55365,181806206854.11667,0.0,0.0,0.0,0.0025469169229401178,18025285503.184315,18025285503.184315,0.0025469950023955337,0.0,0.0,,
Ampara,PF,25.0,Nuwara Eliya,182023165047.55365,181806206854.11667,0.0,0.0,0.0,0.02740867798896452,193979333038.3184,193979333038.3184,0.02740951824199041,0.0,0.0,,
Ampara,PF,25.0,Polonnaruwa,182023165047.55365,181806206854.11667,0.0,0.0,0.0,0.02514564787597101,177963198581.1634,177963198581.1634,0.025146418752505915,0.0,0.0,,
Ampara,PF,25.0,Puttalam,182023165047.55365,181806206854.11667,0.0,0.0,0.0,0.041341882878121836,292588751288.0115,292588751288.0115,0.04134315027387862,0.0,0.0,,
Ampara,PF,25.0,Rathnapura,182023165047.55365,181806206854.11667,0.0,0.0,0.0,0.04425519147554543,313207099202.8782,313207099202.8782,0.04425654818302912,0.0,0.0,,
Ampara,PF,25.0,Trincomalee,182023165047.55365,181806206854.11667,0.0,0.0,0.0,0.015085507684840275,106764606466.16864,106764606466.16864,0.015085970153095159,0.0,0.0,,
Ampara,PF,25.0,Vavuniya,182023165047.55365,181806206854.11667,0.0,0.0,0.0,0.00930751798093915,65872061794.13898,65872061794.13898,0.009307803316486875,0.0,0.0,,
Ampara,PF,50.0,Ampara,182023165047.5533,181791674059.97705,0.0,0.0,0.0,0.02571930854270453,182023165047.55347,181791674059.97705,0.02568743979369902,0.0,0.0,,
Ampara,PF,50.0,Anuradhapura,182023165047.5533,181791674059.97705,0.0,0.0,0.0,0.03604859459207457,255126582126.828,255126582126.828,0.03604977374262445,0.0,0.0,,
Ampara,PF,50.0,Badulla,182023165047.5533,181791674059.97705,0.0,0.0,0.0,0.033966102875584415,240388171380.23062,240388171380.23062,0.03396721390777128,0.0,0.0,,
Ampara,PF,50.0,Batticaloa,182023165047.5533,181791674059.97705,0.0,0.0,0.0,0.019070390029360812,134966799207.36867,134966799207.36867,0.019071013822358686,0.0,0.0,,
Ampara,PF,50.0,Colombo,182023165047.5533,181791674059.97705,0.0,0.0,0.0,0.1704357265544405,1206224122748.3765,1206224122748.3765,0.17044130151188205,0.0,0.0,,
Ampara,PF,50.0,Galle,182023165047.5533,181791674059.97705,0.0,0.0,0.0,0.04951915882744547,350461755427.7487,350461755427.7487,0.049520778600532916,0.0,0.0,,
Ampara,PF,50.0,Gampaha,182023165047.5533,181791674059.97705,0.0,0.0,0.0,0.16014954047478178,1133425736921.6853,1133425736921.6853,0.16015477897078567,0.0,0.0,,
Ampara,PF,50.0,Hambantota,182023165047.5533,181791674059.97705,0.0,0.0,0.0,0.030935476068652806,218939527745.0528,218939527745.0528,0.03093648796895099,0.0,0.0,,
Ampara,PF,50.0,Kalutara,182023165047.5533,181791674059.97705,0.0,0.0,0.0,0.0778096449668751,550681905953.2819,550681905953.2819,0.07781219012256528,0.0,0.0,,
Ampara,PF,50.0,Kandy,182023165047.5533,181791674059.97705,0.0,0.0,0.0,0.06889994902738304,487625348588.0289,487625348588.0289,0.06890220274666671,0.0,0.0,,
Ampara,PF,50.0,Kegalle,182023165047.5533,181791674059.97705,0.0,0.0,0.0,0.038830069006684745,274811900478.42673,274811900478.42673,0.03883133913934147,0.0,0.0,,
Ampara,PF,50.0,Kurunegala,182023165047.5533,181791674059.97705,0.0,0.0,0.0,0.08088458042664395,572444135049.5549,572444135049.5549,0.08088722616356003,0.0,0.0,,
Ampara,PF,50.0,Mannar,182023165047.5533,181791674059.97705,0.0,0.0,0.0,0.0031221464219857026,22096355060.561516,22096355060.561516,0.0031222485474835734,0.0,0.0,,
