,district,hazard,rp,index,hhid,helped_cat,affected_cat,pov_line,ispoor,pcwgt,pcsoc,c,k,dk_private,dk_public,dk0,pc_fee,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,scale_fac_soc,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta
23,Ampara,PF,5.0,23,52101054081,helped,a,43493.30859375,0.0,2.701648215347238,0.0,153146.89054520603,466133.4760706766,40245.54494700049,0.0,40245.54494700049,0.0,13222.564744515217,0.0,13222.564744515217,80284.3646558675,0.0,80284.3646558675,1.666316110259315,1,36346.798828125,0.0,0,0.0,0.005110647227408239,0.00224785465975342,-1,0.0,0.0,True,38973.93267697085,11824.269077226212,12762.240878767168,30328.49490236996,2.1455891328553575e-05,13222.564744515217,0.0,13222.564744515217,80284.3646558675,30328.49490236996,937.971801540957
24,Ampara,PF,5.0,24,52101054091,helped,a,43493.30859375,0.0,1.8010988102314913,0.0,140822.95956858035,428623.10439718893,77257.05433287127,0.0,77257.05433287127,0.0,25382.59586824294,0.0,25382.59586824294,80709.92031926804,0.0,80709.92031926804,0.7161459225799718,1,36346.798828125,0.0,0,0.0,0.0053295833920314626,0.003799044071380068,-1,0.0,0.0,True,76198.33843531756,11010.984051101259,11735.24663071503,42566.40397825032,2.1455891328553575e-05,25382.59586824294,0.0,25382.59586824294,80709.92031926804,42566.40397825032,724.2625796137701
25,Ampara,PF,5.0,25,52101054101,helped,a,43493.30859375,0.0,6.303845835810221,0.0,78970.67078033325,240363.1777793352,26520.369460461436,0.0,26520.369460461436,0.0,8713.195527634438,0.0,8713.195527634438,42385.63040064214,0.0,42385.63040064214,1.2696819674103375,1,36346.798828125,0.0,0,0.0,0.007117001906923673,0.002746775102066688,-1,0.0,0.0,True,25879.446688892585,6130.131542622945,6580.8892316944375,18477.04730436285,2.1455891328553575e-05,8713.195527634438,0.0,8713.195527634438,42385.63040064214,18477.04730436285,450.7576890714925
26,Ampara,PF,5.0,26,52102059011,helped,a,43493.30859375,0.0,2.4314791742801813,0.0,83271.65877734953,253454.1029587509,27997.61569565869,0.0,27997.61569565869,0.0,9198.540775517406,0.0,9198.540775517406,44699.70606485073,0.0,44699.70606485073,1.2680067358320852,1,36346.798828125,0.0,0,0.0,0.006930768417372292,0.002749192077144395,-1,0.0,0.0,True,27321.873918647194,6464.146681181153,6939.30489811246,19497.36896952088,2.1455891328553575e-05,9198.540775517406,0.0,9198.540775517406,44699.70606485073,19497.36896952088,475.1582169313066
27,Ampara,PF,5.0,27,52102059021,helped,a,43493.30859375,0.0,1.6209861161867876,1249.999969482422,70735.02741562157,211491.7215641069,37635.392801876085,0.0,37635.392801876085,0.0,12365.033149468627,0.0,12365.033149468627,34388.228587496575,0.0,34388.228587496575,0.5851724613042996,2,36346.798828125,0.0,0,0.0,0.007519911552857938,0.0031061879309216773,-1,0.0,0.0,True,37213.4370217543,5587.8782493397375,5894.585617968464,18276.979084772014,2.1455891328553575e-05,12365.033149468627,0.0,12365.033149468627,34388.228587496575,18276.979084772014,306.70736862872695
28,Ampara,PF,5.0,28,52102059031,helped,a,43493.30859375,0.0,2.4314791742801813,0.0,71505.18081684581,217640.45206898887,16304.268946568734,0.0,16304.268946568734,0.0,5356.723384958453,0.0,5356.723384958453,35158.3819887208,0.0,35158.3819887208,1.8278439040368115,2,36346.798828125,0.0,0,0.0,0.00747930495358376,0.0018612160130625174,-1,0.0,0.0,True,15740.049687550098,5525.165602802428,5958.765068070484,12042.660290632452,2.1455891328553575e-05,5356.723384958453,0.0,5356.723384958453,35158.3819887208,12042.660290632452,433.599465268056
29,Ampara,PF,5.0,29,52102059041,helped,a,43493.30859375,0.0,4.0524652904669685,0.0,81725.26410679494,248747.33861899434,33681.247031678664,0.0,33681.247031678664,0.0,11065.882450812094,0.0,11065.882450812094,44930.93977631971,0.0,44930.93977631971,1.0054573482287064,1,36346.798828125,0.0,0,0.0,0.006996032676754663,0.003173635897289328,-1,0.0,0.0,True,33035.02098164914,6366.931276367201,6810.438675566245,21480.479756450535,2.1455891328553575e-05,11065.882450812094,0.0,11065.882450812094,44930.93977631971,21480.479756450535,443.50739919904476
30,Ampara,PF,5.0,30,52102059051,helped,a,43493.30859375,0.0,1.6209861161867876,150.0,100858.7011452491,306527.26298855053,67099.93597165795,0.0,67099.93597165795,0.0,22045.505370397634,0.0,22045.505370397634,59818.45682242622,0.0,59818.45682242622,0.5629357301918043,1,36346.798828125,0.0,0,0.0,0.006297574445849965,0.004253934220272344,-1,0.0,0.0,True,66376.06627855328,7897.893531627815,8404.891762104091,33182.006585326206,2.1455891328553575e-05,22045.505370397634,0.0,22045.505370397634,59818.45682242622,33182.006585326206,506.9982304762758
31,Ampara,PF,5.0,31,52102059061,helped,a,43493.30859375,0.0,3.241972232373575,1249.999969482422,57804.29008980555,172134.41227508624,23933.68352174912,0.0,23933.68352174912,0.0,7863.373691121386,0.0,7863.373691121386,21457.491261680552,0.0,21457.491261680552,0.5679910306412241,2,36346.798828125,0.0,0,0.0,0.00831859459825265,0.002097553847189379,-1,0.0,0.0,True,23673.182529143127,4613.79240121842,4817.024174150462,10792.774543597607,2.1455891328553575e-05,7863.373691121386,0.0,7863.373691121386,21457.491261680552,10792.774543597607,203.23177293204236
32,Ampara,PF,5.0,32,52102059071,helped,a,43493.30859375,0.0,2.4314791742801813,0.0,94081.69105696894,286356.6183477122,35145.74066273443,0.0,35145.74066273443,0.0,11547.037865158356,0.0,11547.037865158356,51103.579348774554,0.0,51103.579348774554,1.1255002949918937,1,36346.798828125,0.0,0,0.0,0.006520448035778217,0.0029673063823430165,-1,0.0,0.0,True,34391.776986569676,7317.629771286314,7840.140921414078,23435.119951600263,2.1455891328553575e-05,11547.037865158356,0.0,11547.037865158356,51103.579348774554,23435.119951600263,522.5111501277638
