,district,hazard,rp,hhid,helped_cat,affected_cat,pov_line,ispoor,has_ew,pcwgt,pcwgt_ae,pcsoc,c,dk_private,dk_public,dk0,pc_fee_BE,pc_fee,scale_fac_soc,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,macro_multiplier,dc_npv_pre,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta
1361,Ampara,PF,10.0,52207002051,helped,a,43493.30859375,1.0,0,6.009893191685149,6.009893191685149,0.0,34901.34062748441,50631.27533591589,0.0,50631.27533591589,0.0,0.0,2.638663605220985e-05,16634.76832300715,0.0,16634.76832300715,16634.76832300715,0.0,16634.76832300715,0.0,3,36346.798828125,5.632680043150034,93698.32755542673,0.0,0,0.0,0.010705548935178569,-0.00019645103006265098,-1.0,0.019267822736030827,0.019267822736030827,False,50631.27533591589,17071.01997753432,2908.4450522903676,-722.7291003202954,16634.76832300715,0.0,16634.76832300715,16634.76832300715,-722.7291003202954,334.44118349378505
1475,Ampara,PF,10.0,52209024031,helped,a,43493.30859375,1.0,0,6.009893191685149,6.009893191685149,0.0,29338.353392317844,7500.164987897003,0.0,7500.164987897003,0.0,0.0,2.638663605220985e-05,2464.1588846073155,0.0,2464.1588846073155,2464.1588846073155,0.0,2464.1588846073155,0.0,3,36346.798828125,5.632680043150034,13879.818572478474,0.0,0,0.0,0.011676485057831127,-0.0010569020707534087,-1.0,0.019267822736030827,0.019267822736030827,False,7500.164987897003,16826.881172692727,2444.862782693154,-3504.222717903578,2464.1588846073155,0.0,2464.1588846073155,2464.1588846073155,-3504.222717903578,114.99771873816749
2017,Ampara,PF,25.0,52203064051,helped,a,43493.30859375,1.0,1,11.682969483152831,11.682969483152831,0.0,35252.204564023574,9489.426456570423,0.0,9489.426456570423,0.0,0.0,3.0655519677444405e-05,3117.7253501115706,0.0,3117.7253501115706,3117.7253501115706,0.0,3117.7253501115706,0.0,3,36346.798828125,5.632680043150034,17561.1493595964,0.0,0,0.0,0.01065213973423924,-0.00014784896583827062,-1.0,0.019267822736030827,0.019267822736030827,False,9489.426456570423,18156.53132679068,2937.6837136686313,-547.2971320507131,3117.7253501115706,0.0,3117.7253501115706,3117.7253501115706,-547.2971320507131,70.61700350987059
2050,Ampara,PF,25.0,52204070101,helped,a,43493.30859375,1.0,1,10.514677558730565,10.514677558730565,0.0,31728.48029349312,20571.90529036798,0.0,20571.90529036798,0.0,0.0,3.0655519677444405e-05,6758.843742286038,0.0,6758.843742286038,6758.843742286038,0.0,6758.843742286038,0.0,3,36346.798828125,5.632680043150034,38070.40426194406,0.0,0,0.0,0.011228076426991217,-0.00066505515249687,-1.0,0.019267822736030827,0.019267822736030827,False,20571.90529036798,17758.78396653087,2644.04002445776,-2309.1592673159394,6758.843742286038,0.0,6758.843742286038,6758.843742286038,-2309.1592673159394,174.72067455880492
2082,Ampara,PF,25.0,52204076091,helped,a,43493.30859375,1.0,0,21.029374313231468,21.029374313231468,0.0,32978.87215270377,9622.790447404457,0.0,9622.790447404457,0.0,0.0,3.0655519677444405e-05,3161.5417279420158,0.0,3161.5417279420158,3161.5417279420158,0.0,3161.5417279420158,0.0,3,36346.798828125,5.632680043150034,17807.95299656507,0.0,0,0.0,0.011013163737581282,-0.0004738540593795717,-1.0,0.019267822736030827,0.019267822736030827,False,9622.790447404457,17944.34163001903,2748.2393460586477,-1683.9633377106147,3161.5417279420158,0.0,3161.5417279420158,3161.5417279420158,-1683.9633377106147,93.3623326715343
2083,Ampara,PF,25.0,52204076101,helped,a,43493.30859375,1.0,1,37.85287376381664,37.85287376381664,0.0,36328.89296419594,8998.595954853861,0.0,8998.595954853861,0.0,0.0,3.0655519677444405e-05,2956.4643187085444,0.0,2956.4643187085444,2956.4643187085444,0.0,2956.4643187085444,0.0,3,36346.798828125,5.632680043150034,16652.81756627478,0.0,0,0.0,0.010493102462822354,-2.3737528805627113e-06,-1.0,0.019267822736030827,0.019267822736030827,False,8998.595954853861,18259.73522972391,3027.4077470163284,-8.952931964529853,2956.4643187085444,0.0,2956.4643187085444,2956.4643187085444,-8.952931964529853,57.13713392433669
2189,Ampara,PF,25.0,52207002051,helped,a,43493.30859375,1.0,0,7.009781689891699,7.009781689891699,0.0,34901.34062748441,66159.60317360832,0.0,66159.60317360832,0.0,0.0,3.0655519677444405e-05,21736.55835910527,0.0,21736.55835910527,21736.55835910527,0.0,21736.55835910527,0.0,3,36346.798828125,5.632680043150034,122435.07847609832,0.0,0,0.0,0.010705548935178569,-0.00019645103006265098,-1.0,0.019267822736030827,0.019267822736030827,False,66159.60317360832,17765.16809937651,2908.4450522903676,-722.7291003202954,21736.55835910527,0.0,21736.55835910527,21736.55835910527,-722.7291003202954,432.74156954577194
2303,Ampara,PF,25.0,52209024031,helped,a,43493.30859375,1.0,0,7.009781689891699,7.009781689891699,0.0,29338.353392317844,7926.394905869989,0.0,7926.394905869989,0.0,0.0,3.0655519677444405e-05,2604.1955692607125,0.0,2604.1955692607125,2604.1955692607125,0.0,2604.1955692607125,0.0,3,36346.798828125,5.632680043150034,14668.600411434558,0.0,0,0.0,0.011676485057831127,-0.0010569020707534087,-1.0,0.019267822736030827,0.019267822736030827,False,7926.394905869989,17616.63147857046,2444.862782693154,-3504.222717903578,2604.1955692607125,0.0,2604.1955692607125,2604.1955692607125,-3504.222717903578,117.6959207546106
2845,Ampara,PF,50.0,52203064051,helped,a,43493.30859375,1.0,1,12.39689612995524,12.39689612995524,0.0,35252.204564023574,17450.60411985977,0.0,17450.60411985977,0.0,0.0,3.270895840525258e-05,5733.348700076356,0.0,5733.348700076356,5733.348700076356,0.0,5733.348700076356,0.0,3,36346.798828125,5.632680043150034,32294.118803340283,0.0,0,0.0,0.01065213973423924,-0.00014784896583827062,-1.0,0.019267822736030827,0.019267822736030827,False,17450.60411985977,17887.103810603752,2937.6837136686313,-547.2971320507131,5733.348700076356,0.0,5733.348700076356,5733.348700076356,-547.2971320507131,121.0143705612152
2878,Ampara,PF,50.0,52204070101,helped,a,43493.30859375,1.0,1,11.1572118478544,11.1572118478544,0.0,31728.48029349312,21639.457123958924,0.0,21639.457123958924,0.0,0.0,3.270895840525258e-05,7109.585004613863,0.0,7109.585004613863,7109.585004613863,0.0,7109.585004613863,0.0,3,36346.798828125,5.632680043150034,40046.01757056725,0.0,0,0.0,0.011228076426991217,-0.00066505515249687,-1.0,0.019267822736030827,0.019267822736030827,False,21639.457123958924,17532.995796926545,2644.04002445776,-2309.1592673159394,7109.585004613863,0.0,7109.585004613863,7109.585004613863,-2309.1592673159394,181.47869502754915
