district,hazard,rp,c,di0,dc_post_reco
Ampara,PF,5.0,49828.32154581401,3752.3004230610663,2.691976017832204
Ampara,PF,5.0,58331.51470211651,5829.068330152663,2.4404874436711546
Ampara,PF,5.0,69595.76405159975,12122.127003970698,108.39149368853045
Ampara,PF,5.0,95621.62286080445,14451.641124887848,2.2249253554699324
Ampara,PF,5.0,82436.85327152163,9067.50293663729,0.7747113767557257
Ampara,PF,5.0,51913.23180253958,5374.524954928373,30.646235903479344
Ampara,PF,5.0,78024.60201419001,7172.617614440726,0.12465173601051766
Ampara,PF,5.0,119610.81146922006,11299.277103141258,0.0004969310295193263
Ampara,PF,5.0,69326.08731475139,12524.401652625333,154.1292815595017
Ampara,PF,5.0,75728.52066358044,12364.015853753086,30.01446027445056
Ampara,PF,5.0,71825.47650708104,9412.93747574702,3.969948982432467
Ampara,PF,5.0,100973.11087830072,12214.408217127017,0.2962800509417565
Ampara,PF,5.0,111969.40614081356,10125.717342106984,0.0004132506967984107
Ampara,PF,5.0,90894.3669092914,8808.874996156072,0.026584041753562663
Ampara,PF,5.0,75524.69133941435,6280.759115700176,0.045242795674411584
Ampara,PF,5.0,83593.05602601013,14071.986479498413,20.444155052265767
Ampara,PF,5.0,109560.9423934033,12758.576192940918,0.07213390471091287
Ampara,PF,5.0,109460.61854574837,9949.195637267265,0.0006102352993612586
Ampara,PF,5.0,109595.95788888195,14243.465728061221,0.4218318065221288
Ampara,PF,5.0,70164.67210347486,8152.022229446915,1.0884471721669042
Ampara,PF,5.0,100677.30728496988,14219.008225371808,0.6022541787967084
Ampara,PF,5.0,84970.94741360363,10683.32732658499,0.4163749614004629
Ampara,PF,5.0,132833.48521517144,18203.06791045977,0.2370854202218872
Ampara,PF,5.0,84085.96240588829,10831.288186941196,0.6558516363983683
Ampara,PF,5.0,127978.68286044893,8809.115318187656,4.6672963273866413e-08
Ampara,PF,5.0,63104.56149987557,7528.742245999784,6.069126658386481
Ampara,PF,5.0,109066.85828350652,10184.94899817436,0.0011403811957062075
Ampara,PF,5.0,94159.85483034332,15208.852718761458,5.8208804704490795
Ampara,PF,5.0,121584.14791990395,15944.925287700069,0.2144626693439279
