,,,k_q1,k_q2,k_q3,k_q4,k_q5,dk_q1,dk_q2,dk_q3,dk_q4,dk_q5,dc_q1,dc_q2,dc_q3,dc_q4,dc_q5,dw_q1,dw_q2,dw_q3,dw_q4,dw_q5,nrh_q1,nrh_q2,nrh_q3,nrh_q4,nrh_q5,dw_pds_q1,dw_pds_q2,dw_pds_q3,dw_pds_q4,dw_pds_q5
IVA - CALABARZON,EQ,25,66066.54472754382,106424.90875842917,149013.6154603578,215606.927542824,465754.15001231467,202.5255673000696,273.89849543115776,355.61004500957654,493.3805504603765,1048.2086583764058,121.8283165927126,312.3169815093534,523.1491823014748,772.4918685428215,1709.202562119211,1782.1256154760692,312.3761859479269,176.03125632603118,111.1833082477785,68.79285319955075,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,PF,25,66066.54472754382,106424.90875842918,149013.6154603578,215606.92754282407,465754.1500123146,546.2870597925129,713.012337639856,950.0855789108838,1285.840576130954,2809.7990749041023,392.98315459996184,1035.432644127031,1718.8302327524366,2518.5254507746345,5584.24471939585,4410.337475889056,578.4098423211957,314.5340493266054,186.39647287482796,121.39949986942707,0,0,0,0,0,0,0,0,0,0
NCR,EQ,30,83304.77441565189,129722.78009492432,180967.1321029493,260829.680708048,581064.7892494723,313.3984926368598,450.05888448869644,634.1819548933197,834.2278579480245,1819.4326135064023,281.9969754619963,605.5434162666476,897.9204490109345,1299.912029291796,2955.600993167173,1233.3455528367656,222.3022700297481,173.97212756356816,72.84590678901368,37.943524187075234,0,0,0,0,0,0,0,0,0,0
NCR,PF,30,83304.77441565192,129722.78009492437,180967.13210294937,260829.68070804793,581064.7892494723,1413.4111984897272,2004.3538761178008,2765.1975320742035,3744.1310329342964,8155.229782634436,1562.0533475498064,3371.4820852351886,4926.747045429697,7148.792879706555,16259.550314691107,5058.78202859163,662.6956714481075,505.8417287425035,263.6143724690375,124.269502117744,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,EQ,30,66066.5447275438,106424.9087584292,149013.6154603578,215606.92754282407,465754.15001231467,316.673496925419,411.40147804952096,549.5688989966612,766.5200947962317,1612.5227313527728,189.2398168014169,484.0151373834589,811.1985340968936,1197.4792953642436,2647.501648982429,2799.6973226575883,448.8195636544135,276.00982753705796,167.55195810610658,105.86908669350949,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,PF,30,66066.54472754382,106424.9087584292,149013.6154603578,215606.9275428241,465754.15001231455,616.1734007550833,795.0634254759099,1070.356090125831,1448.4723322828938,3095.086722922317,438.6156073963736,1156.004775453353,1920.7877986318238,2813.318176156983,6229.155010016004,4944.838686622726,630.7212066550416,354.026058913409,202.62432222083993,130.84021047344325,0,0,0,0,0,0,0,0,0,0
NCR,EQ,50,83304.77441565192,129722.78009492437,180967.13210294937,260829.680708048,581064.7892494723,1066.6034302227274,1517.7434776045711,2092.043601957909,2857.3165153230966,6126.041946996719,947.8249851487049,2030.0861951368051,3004.1644207480763,4364.126367531099,9909.040768143333,4316.350509453476,754.2677081832427,598.9229837924945,242.0776943263869,118.98307758417856,0,0,0,0,0,0,0,0,0,0
NCR,PF,50,83304.77441565192,129722.78009492437,180967.13210294934,260829.680708048,581064.7892494722,1627.0032900791412,2283.637526028869,3167.0844954738955,4305.723238467803,9370.345874821503,1774.3965609516358,3832.600354230028,5602.564042848042,8132.545112143238,18495.85973543019,5424.575114348424,798.8053014529114,644.4601353942468,287.08811901458347,135.21439028181422,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,EQ,50,66066.54472754383,106424.90875842918,149013.6154603578,215606.92754282398,465754.1500123145,1006.6332819239997,1326.7112511687592,1758.6664754862402,2484.444603294231,5330.754421953583,601.9910726089779,1548.884812796698,2596.3687431645612,3835.9520566454667,8492.920500159833,8792.214403806747,1516.9379758175555,804.3932670932571,560.2400319387714,362.95776061310545,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,PF,50,66066.54472754382,106424.90875842918,149013.6154603578,215606.927542824,465754.15001231467,789.4662432408418,1027.61466728817,1386.7968091953412,1902.4474649128858,4027.770815262724,569.9519011229766,1500.5241506775908,2492.255104115116,3654.7391736365075,8087.610082210495,6406.637222728287,783.8682139708492,459.55429411401286,276.0172779691139,175.84288949264146,0,0,0,0,0,0,0,0,0,0
