district,hazard,rp,fa,v
Trincomalee,PF,5.0,0.050777414546479875,0.12084625127517161
Trincomalee,PF,10.0,0.05858912635573456,0.12293596156060531
Trincomalee,PF,25.0,0.070143145207143,0.123211377773569
Trincomalee,PF,50.0,0.07675979131264168,0.12315791569248753
Trincomalee,PF,100.0,0.08065148156776317,0.12260191668473396
Trincomalee,PF,250.0,0.08674528642786973,0.12164708287193694
Trincomalee,PF,500.0,0.09247078440082403,0.12402694423901948
Trincomalee,PF,1000.0,0.09631353877583627,0.12532879665326413
Vavuniya,PF,5.0,0.0030478487473581143,0.1523316118765351
Vavuniya,PF,10.0,0.003834769233188571,0.15197074789598344
Vavuniya,PF,25.0,0.004627562259958015,0.15208297209384872
Vavuniya,PF,50.0,0.004938806929726722,0.14733459005864155
Vavuniya,PF,100.0,0.005390992582032332,0.15036347245095005
Vavuniya,PF,250.0,0.005637639301471657,0.14965403549309528
Vavuniya,PF,500.0,0.006224893395375007,0.14930594873681807
Vavuniya,PF,1000.0,0.006459795032936319,0.15299051695719884
