region,hazard,new_pov,new_sub,reg_pop,init_pov,init_sub,pct_increase_pov,pct_increase_sub,pct_pop_pov,pct_pop_sub
IVB - MIMAROPA,HU,2638.469052843369,2259.6146982060186,3089300.0409799996,479538.3057,274683.83259999997,5.502102796546977,8.226238424073959,0.8540669465068805,0.7314325796238345
IVB - MIMAROPA,PF,398.3428699304225,349.466240397193,3089300.0409799996,479538.3057,274683.83259999997,0.8306799794626344,1.2722490329676326,0.12894275876293929,0.11312149540720363
IVB - MIMAROPA,SS,192.68045685410465,163.5141895794132,3089300.040979998,479538.3057,274683.83259999997,0.4018040989923459,0.5952814478802099,0.062370263262930555,0.0529292031885458
IX - Zamboanga Peninsula,EQ,888.3433525592126,975.9297451439213,3764699.5852399995,775760.7985300001,498896.45580000005,1.145125345651065,1.9561769457331175,0.23596659771793738,0.2592317721632245
IX - Zamboanga Peninsula,HU,52.68956730764788,49.14429118773473,3764699.585239999,775760.7985299998,498896.4558,0.06791986319428629,0.09850599381174183,0.013995689726273053,0.013053974181741194
IX - Zamboanga Peninsula,PF,52.91954952994158,48.0801781417927,3764699.5852400046,775760.79853,498896.4558,0.0682163234211107,0.0963730601467077,0.014056778856251789,0.012771318681123271
IX - Zamboanga Peninsula,SS,4.571019169101387,4.13310488528877,3764699.5852399995,775760.7985300004,498896.4558,0.0058923049189428915,0.008284494382027979,0.001214178997714099,0.0010978578215093582
NCR,EQ,3305.0288906788255,3191.6966071278976,12651700.151659984,411882.90679,82747.3762,8.024195314237467,38.571574758015075,0.2612319965744038,0.25227412670771576
NCR,HU,3141.509018004321,1709.6989312866947,12651700.151660006,411882.90679,82747.37620000001,7.627189587661211,20.661669406342995,0.2483072615020938,0.13513590353802118
NCR,PF,7924.132180608388,4610.743334331568,12651700.15165999,411882.90679000004,82747.3762,19.23879833315961,55.7207194484019,0.6263294328524446,0.3644366590308898
NCR,SS,64.48740128321572,35.55339961134136,12651700.15166,411882.90679,82747.3762,0.1565673161476809,0.4296619572010231,0.005097133231912272,0.0028101677391300234
V - Bicol,EQ,3616.368497828221,4924.761129742383,6032099.76381,1457733.7156900002,714680.8375700003,2.4808155693349367,6.890853750167914,0.599520670981749,0.8164256763936213
V - Bicol,HU,25285.14388587697,29122.713170815347,6032099.763809988,1457733.7156900014,714680.8375700003,17.345516272091256,40.74925706674328,4.191764870597298,4.827956153102629
V - Bicol,PF,3137.4135466671105,3263.368734713277,6032099.763810002,1457733.71569,714680.83757,2.1522542237297815,4.566190337226781,0.5201196381880551,0.5410004579652482
V - Bicol,SS,10987.073015082658,11380.487824597654,6032099.763809998,1457733.7156900002,714680.8375699999,7.537091923460153,15.923874303518017,1.821434234393862,1.886654443760311
VI - Western Visayas,EQ,4048.2790717956923,4400.4819700519465,7704399.479039993,1169214.2102300003,559182.6168399998,3.462392978442625,7.869489926063038,0.5254503070367955,0.5711648236859427
VI - Western Visayas,HU,2925.5455062086157,2219.370687351646,7704399.479039997,1169214.21023,559182.6168400001,2.5021467243655224,3.968955079279009,0.3797240153716889,0.2880653701030817
VI - Western Visayas,PF,2162.8342854132584,1634.7591091371432,7704399.479040001,1169214.21023,559182.61684,1.8498186786387072,2.9234798434460276,0.28072717299995925,0.21218514351242349
VI - Western Visayas,SS,1884.114785859511,1478.3617433104764,7704399.47904,1169214.21023,559182.61684,1.6114367832468273,2.6437905950382623,0.24455050532949255,0.19188539578359018
VII - Central Visayas,EQ,1710.5736994517897,1710.341353044026,7446799.783009994,1173301.2354699997,884177.42078,1.4579151949555138,1.9343870504351988,0.22970588028356745,0.2296746794436719
VII - Central Visayas,HU,2982.9108546788416,2828.7633553123374,7446799.783009999,1173301.23547,884177.4207799998,2.5423231174592176,3.1993164367586666,0.40056278422905955,0.3798629529111564
VII - Central Visayas,PF,5148.1101791071915,4831.488213088808,7446799.783009999,1173301.2354700004,884177.4207799998,4.387713933536398,5.464387689098176,0.6913184628453006,0.6488006061492255
