region,hazard,rp,hhid,affected_cat,helped_cat,index,axfin,c,c_min,const,dc0,dc0_prv,dc0_pub,dc_net,dc_npv_pre,dc_post_reco,dc_t,di0,di0_prv,di0_pub,di_prv_t,di_pub_t,di_t,dk0,dk_private,dk_prv_t,dk_public,dw,dw_curr_no_clip,has_ew,help_received,hh_reco_rate,integ,ispoor,macro_multiplier,pc_fee,pc_fee_BE,pcsoc,pcwgt,pcwgt_ae,pov_line,province,sav_delta,sav_f,sav_i,sav_offset_to,scale_fac_soc,t_pov_bool,t_pov_cons,t_pov_inc,t_start_prv_reco,welf_class,wprime_hh
I - Ilocos,EQ,2000,13397016192,a,helped,295716,0.0,85196.03900000003,15573.959716184301,0.006852046378035648,80936.2370500004,74053.14326307364,6883.093786926771,1581.9750623230175,455887.9271991957,0.0,1581.9750623230175,80936.2370500004,74053.14326307364,6883.093786926771,504.3148348580139,0.3169691789891773,504.63164640703866,253874.49170559362,232284.13860530755,1581.8955393252747,21590.353100286058,-500.0,,1.0,37218.626563049686,0.6810458649978226,,0.0,5.63268004315001,47.32308741575537,908.6218381024062,0.0,1712.370915,1712.370915,22302.6775,La Union,0.0,1590.903604243016,69834.33611914921,1651.2191337864715,0.03998039041732496,True,1.1111111111111112,0.0,0.0,3.0,4.0213409323147317e-08
I - Ilocos,EQ,2000,133140010156,a,helped,296136,0.0,108215.22000000003,15573.959716184301,0.006079751412704386,102804.45900000053,94061.61699495245,8742.84200504807,5570.78621860804,579064.6245561364,0.0,5570.78621860804,102804.45900000053,94061.61699495245,8742.84200504807,2153.4671369795683,0.4026113166779174,2153.8695906662815,322469.02901564457,295045.1623893436,6754.828179961513,27423.86662630099,-500.0,,1.0,37218.626563049686,0.5058480448219523,,0.0,5.63268004315001,60.10934752230904,1154.1230468127308,0.0,2019.2135999999998,2019.2135999999998,22302.6775,La Union,0.0,4079.530458522684,88702.92721810316,7118.274621286502,0.03998039041732496,True,1.1111111111111112,0.0,0.0,3.0,2.809101812436543e-08
I - Ilocos,EQ,2000,133313015200,a,helped,296167,0.0,101157.11000000002,15573.959716184301,0.006288278806853557,96099.25450000048,87926.64596658653,8172.6085334139525,4069.9723610657993,541296.3529837466,0.0,4069.9723610657993,96099.25450000048,87926.64596658653,8172.6085334139525,1496.61424588766,0.37635184078942796,1496.9904400984851,301436.6651911695,275801.46255569864,4694.463132988934,25635.20263547085,-500.0,,1.0,37218.626563049686,0.5480886414649747,,0.0,5.63268004315001,56.18884182227267,1078.8477997824202,0.0,497.77866300000017,497.77866300000017,22302.6775,La Union,0.0,3657.607970999735,82917.46545378417,5441.9734962864895,0.03998039041732496,True,1.1111111111111112,0.0,0.0,3.0,3.108174406551134e-08
I - Ilocos,EQ,2000,133629018121,a,helped,296181,0.0,95276.602,15573.959716184301,0.006479430945784888,89952.83691585263,82305.03276998138,7647.8041458712605,2668.664167596143,506675.54932065064,0.0,2668.664167596143,89952.83691585263,82305.03276998138,7647.8041458712605,914.6424878323413,0.3521843921102785,914.9945145944872,282079.8975432665,258090.86048193712,2868.975845133951,23989.037061329353,-500.0,,1.0,37218.626563049686,0.6112528468917026,,0.0,5.63268004315001,52.58067307190269,1009.5695446816487,615.2999103003729,2050.61053,2050.61053,22302.6775,La Union,0.0,3257.0743741764045,78096.93042732844,3905.369100249529,0.03998039041732496,True,1.1111111111111112,0.0,0.0,3.0,3.400326423157329e-08
I - Ilocos,EQ,2000,133738019156,a,helped,296224,0.0,87200.50800000002,15573.959716184301,0.006772834886602985,82840.48260000043,75795.44527342168,7045.037326578742,1823.7684478492133,466613.9331059381,0.0,1823.7684478492133,82840.48260000043,75795.44527342168,7045.037326578742,593.5766068457748,0.3244267427526671,593.900875958563,259847.58100044477,237749.25600385285,1861.8849213141334,22098.32499659191,-500.0,,1.0,37218.626563049686,0.6605497245353917,,0.0,5.63268004315001,48.43649201557667,929.9996430869697,0.0,1666.5858549999998,1666.5858549999998,22302.6775,La Union,0.0,1936.7894055968818,71477.37919403224,2127.280521286477,0.03998039041732496,True,1.1111111111111112,0.0,0.0,3.0,3.883483618354026e-08
I - Ilocos,EQ,2000,1331459124215,a,helped,296758,0.0,87054.12500000004,15573.959716184301,0.006778526813685748,82701.41875000042,75668.20788776953,7033.2108622308915,1805.4244827738144,465830.63093331945,0.0,1805.4244827738144,82701.41875000042,75668.20788776953,7033.2108622308915,586.7356676576287,0.3238821294129792,587.0593921570772,259411.37633464643,237350.14767134623,1840.4267954797617,22061.228663300186,-500.0,,1.0,37218.626563049686,0.6620013866398496,,0.0,5.63268004315001,48.355181950150204,928.4384579416496,0.0,1620.2355449999998,1620.2355449999998,22302.6775,La Union,0.0,1912.3617693824413,71357.39052150572,2092.5145587864754,0.03998039041732496,True,1.1111111111111112,0.0,0.0,3.0,3.893282951086893e-08
I - Ilocos,EQ,2000,1337320168005,a,helped,296796,0.0,90977.14800000002,15573.959716184301,0.006630768055744659,86428.29060000043,79078.13383800452,7350.1567619959105,2334.5903365471186,486822.907626192,0.0,2334.5903365471186,86428.29060000043,79078.13383800452,7350.1567619959105,788.1896508162872,0.33847761288921985,788.527970799212,271101.53801075846,248046.13810681476,2472.331977146116,23055.399903943697,-500.0,,1.0,37218.626563049686,0.6253457788191418,,0.0,5.63268004315001,50.53426870749357,970.2777783022827,0.0,970.66839,970.66839,22302.6775,La Union,0.0,2521.289183159858,74573.05301005347,3024.232521286478,0.03998039041732496,True,1.1111111111111112,0.0,0.0,3.0,3.644194284780535e-08
IVA - CALABARZON,EQ,2000,411014380398,a,helped,839202,0.0,114624.33000000002,15573.959716184301,0.005907334871531356,108893.11350000052,107358.28592354502,1534.827576455499,11552.86577023964,613360.0672479218,0.0,15226.71829798313,108893.11350000052,107358.28592354502,1534.827576455499,7401.5253947137835,0.07067941420804935,7401.595924391999,341567.44676644204,336753.11903104646,15964.458402721932,4814.3277353955755,-500.0,,1.0,35354.7500172456,0.3370496236497089,,0.0,5.63268004315001,25.748457599027045,467.4663207246813,0.0,3203.88659,3203.88659,22302.6775,Batangas,1275.1131099678842,2806.9452541915507,104255.31890113867,9571.05076665077,0.09224403262441956,True,2.2222222222222223,0.0,0.0,3.0,2.5768241661832856e-08
IVA - CALABARZON,EQ,2000,411062118353,a,helped,839339,0.0,95333.68800000002,15573.959716184301,0.006477490707285504,90567.00360000045,89290.47903224415,1276.524567756293,5378.439914521114,510134.95374561765,0.0,7875.7480752904285,90567.00360000045,89290.47903224415,1276.524567756293,3413.57205854486,0.05878445895503114,3413.630693267822,284083.5309657958,280079.4280126449,6738.943352984896,4004.1029531509444,-500.0,,1.0,35354.7500172456,0.4167310476977868,,0.0,5.63268004315001,21.415134319449244,388.7943194125951,0.0,1165.703485,1165.703485,22302.6775,Batangas,1028.4283819573584,1746.3584633418805,86709.72423098709,4989.523291650752,0.09224403262441956,True,2.2222222222222223,0.0,0.0,3.0,3.3972726971841804e-08
IVA - CALABARZON,EQ,2000,412151028002,a,helped,839442,0.0,128381.70000000004,15573.959716184301,0.005581853508304481,115329.171643483,113703.62906031325,1625.5425831697466,10937.609280093915,649612.3235092688,0.0,10937.609280093915,115329.171643483,113703.62906031325,1625.5425831697466,4719.61784947016,0.07485687598473265,4719.692556610152,361755.57323882607,356656.69772781024,14804.130093652255,5098.8755110158045,-500.0,,1.0,35354.7500172456,0.4200122995507784,,0.0,5.63268004315001,58.64068700735535,523.5722725478947,0.0,654.9727025,654.9727025,22302.6775,Cavite,0.0,3893.6890903180483,41983.46538330449,11180.06530252139,0.09224403262441956,True,1.1111111111111112,0.0,0.0,3.0,2.173928803055451e-08
