region,hazard,rp,new_pov,new_sub,init_pov,init_sub,reg_pop
NCR,SS,200,5043.302132925367,2827.1428077963064,411882.90679000004,82747.37619999998,12651700.151660036
NCR,SS,250,5463.44224291967,2903.0437508790583,411882.90679000015,82747.3762,12651700.151659964
NCR,SS,500,6969.338523055368,4112.3667644880015,411882.9067899999,82747.3762,12651700.15165999
NCR,SS,1000,9708.657386600022,5761.536967560975,411882.90679,82747.37619999997,12651700.151659982
NCR,SS,2000,43154.37359343323,24635.595661350635,411882.9067899999,82747.3762,12651700.151660033
V - Bicol,EQ,1,589.2224574476487,798.3846311477553,1457733.715690001,714680.83757,6032099.763810024
V - Bicol,EQ,10,748.6441190451826,983.2018816712258,1457733.7156899988,714680.8375699997,6032099.763810001
V - Bicol,EQ,25,9747.763676671553,12536.33031206908,1457733.715689999,714680.8375700003,6032099.763809982
V - Bicol,EQ,30,14477.127952122633,18893.184784384503,1457733.7156900002,714680.837570001,6032099.763809987
V - Bicol,EQ,50,36206.7366323984,48403.851559703224,1457733.7156899988,714680.8375699996,6032099.763810018
V - Bicol,EQ,100,95658.34306164917,128973.6883628968,1457733.7156900002,714680.83757,6032099.763810006
V - Bicol,EQ,200,209971.566156908,268608.78861656133,1457733.7156899981,714680.8375700001,6032099.763810028
V - Bicol,EQ,250,271497.3794297046,345671.1287072663,1457733.7156900023,714680.8375700006,6032099.763809992
V - Bicol,EQ,500,458660.84315241914,543238.2370158226,1457733.7156899997,714680.8375700003,6032099.763809995
V - Bicol,EQ,1000,588710.565672763,807087.8163458859,1457733.715690002,714680.8375700004,6032099.763809981
V - Bicol,EQ,2000,873589.2849449996,1552196.0686110002,1457733.7156900023,714680.8375700017,6032099.76380998
V - Bicol,HU,1,10699.266596579339,10897.699084527274,1457733.71569,714680.8375700002,6032099.763809981
V - Bicol,HU,10,42780.20698118614,46484.83890302331,1457733.7156900018,714680.83757,6032099.763809991
V - Bicol,HU,25,157354.9863297616,154795.86569714852,1457733.7156900014,714680.8375699995,6032099.763809989
V - Bicol,HU,30,182973.01965502917,200353.14570349985,1457733.7156900002,714680.8375699996,6032099.763810038
V - Bicol,HU,50,298881.9545380341,325886.53380686336,1457733.7156899988,714680.8375699995,6032099.763809977
V - Bicol,HU,100,546085.6607322418,573068.8561780354,1457733.7156900046,714680.8375700003,6032099.763809978
V - Bicol,HU,200,884351.9610259997,1035618.6848755003,1457733.7156900023,714680.8375700017,6032099.76380998
V - Bicol,HU,250,840201.4658325004,1283084.9546319998,1457733.7156900023,714680.8375700017,6032099.76380998
V - Bicol,HU,500,901206.9185229994,1897744.0884545003,1457733.7156900023,714680.8375700017,6032099.76380998
V - Bicol,HU,1000,830216.7221414995,2397207.280728998,1457733.7156900023,714680.8375700017,6032099.76380998
V - Bicol,HU,2000,0.008985246878048695,0.009228876614372874,1457733.71569,714680.8375699997,6032099.76381
V - Bicol,PF,1,1513.954770507174,1575.0595829223787,1457733.7156900004,714680.8375700003,6032099.763809997
V - Bicol,PF,10,6574.787714799712,6940.407645644784,1457733.7156899997,714680.8375699996,6032099.763810019
V - Bicol,PF,25,16087.262683969891,16296.950904432773,1457733.71569,714680.8375699999,6032099.76381
V - Bicol,PF,30,19091.56936410326,19390.664303261805,1457733.715689999,714680.8375699997,6032099.763809995
V - Bicol,PF,50,28258.168327748783,30521.327365201,1457733.7156900014,714680.8375699997,6032099.7638099855
V - Bicol,PF,100,54272.83355683845,54690.86247761379,1457733.7156899997,714680.8375700001,6032099.763810021
V - Bicol,PF,200,82842.20928986135,87801.3338839652,1457733.715690002,714680.8375699999,6032099.763809981
V - Bicol,PF,250,89890.97861467625,93588.09093298305,1457733.715689999,714680.8375699995,6032099.763809999
V - Bicol,PF,500,119989.62885709007,128042.19594427582,1457733.7156899993,714680.8375700003,6032099.7638100125
V - Bicol,PF,1000,153769.67291838,150125.27835078904,1457733.7156900014,714680.8375699999,6032099.76381002
V - Bicol,PF,2000,10239.66268864158,10904.36872345364,1457733.7156899984,714680.83757,6032099.763809995
V - Bicol,SS,1,7620.213077854378,7983.855793743514,1457733.7156899995,714680.8375699995,6032099.76381
V - Bicol,SS,10,30430.934690867423,30226.31278181799,1457733.7156900025,714680.8375700003,6032099.763809985
V - Bicol,SS,25,46704.976955698316,48320.376426764495,1457733.7156900007,714680.8375700003,6032099.763810005
V - Bicol,SS,30,48442.3110738587,49120.44520985109,1457733.7156900002,714680.8375699994,6032099.7638099985
V - Bicol,SS,50,57746.40419356456,60110.34900453584,1457733.7156899993,714680.83757,6032099.763809995
V - Bicol,SS,100,71123.22253182704,75111.8146799007,1457733.71569,714680.8375700001,6032099.763809984
V - Bicol,SS,200,83565.63758750522,87493.36571200732,1457733.715690001,714680.83757,6032099.763810002
V - Bicol,SS,250,87712.34703164682,91352.20455633533,1457733.7156900016,714680.8375700006,6032099.763809983
V - Bicol,SS,500,98225.65558163161,101456.72273648581,1457733.7156899995,714680.8375699999,6032099.763810027
V - Bicol,SS,1000,110930.04649222663,112093.33075407265,1457733.71569,714680.8375699995,6032099.763809999
V - Bicol,SS,2000,0.008931153603499043,0.009253144759829557,1457733.7156900002,714680.8375699997,6032099.763810001
VI - Western Visayas,EQ,1,293.2056892717017,243.10801350520688,1169214.21023,559182.6168399997,7704399.479040003
VI - Western Visayas,EQ,10,364.3065235350578,322.33155180818653,1169214.2102300008,559182.61684,7704399.479040031
VI - Western Visayas,EQ,25,8219.980248746908,6900.163785625143,1169214.2102300003,559182.6168399998,7704399.479039987
VI - Western Visayas,EQ,30,12122.532310401966,10467.386598672812,1169214.210229999,559182.61684,7704399.479040001
VI - Western Visayas,EQ,50,34541.61075886844,29093.43261673149,1169214.2102299999,559182.6168400001,7704399.479039995
VI - Western Visayas,EQ,100,131526.94069380188,118980.77779362215,1169214.21023,559182.6168400003,7704399.479039972
VI - Western Visayas,EQ,200,308921.8878384915,255084.98523236046,1169214.2102300017,559182.6168399998,7704399.479040007
VI - Western Visayas,EQ,250,367462.7657043304,320602.6638556911,1169214.2102299994,559182.6168399999,7704399.479039997
VI - Western Visayas,EQ,500,581174.7706062772,498052.0263939317,1169214.21023,559182.6168399997,7704399.479039942
VI - Western Visayas,EQ,1000,781409.1017775232,659062.9568690595,1169214.2102299996,559182.6168400001,7704399.479040013
VI - Western Visayas,EQ,2000,1054648.7515510006,2734133.170656002,1169214.2102300005,559182.6168399994,7704399.479039981
VI - Western Visayas,HU,1,1156.5987795029057,872.1538066121451,1169214.2102299999,559182.6168399999,7704399.4790400015
VI - Western Visayas,HU,10,3365.6926497140325,2504.7808066641587,1169214.2102299996,559182.6168400001,7704399.479039992
VI - Western Visayas,HU,25,14508.43811837705,10606.54145865831,1169214.21023,559182.61684,7704399.479040005
VI - Western Visayas,HU,30,17220.75729593514,13926.159264426253,1169214.2102299999,559182.61684,7704399.479040001
VI - Western Visayas,HU,50,32096.215748254785,23858.85847132113,1169214.2102299999,559182.6168400003,7704399.479040007
VI - Western Visayas,HU,100,62975.159781823415,47969.26347415911,1169214.2102299982,559182.6168400001,7704399.479039998
VI - Western Visayas,HU,200,94854.59918721131,77541.15471264969,1169214.2102300008,559182.61684,7704399.479039999
VI - Western Visayas,HU,250,120040.47931550967,86890.90127100468,1169214.2102300005,559182.6168400001,7704399.479039993
VI - Western Visayas,HU,500,219456.7378644018,164089.76849965053,1169214.2102299994,559182.6168399999,7704399.479040012
VI - Western Visayas,HU,1000,331460.3584576878,267285.0562229208,1169214.2102299996,559182.6168400003,7704399.479039977
VI - Western Visayas,HU,2000,743.1926034030172,525.7142687001442,1169214.210230001,559182.6168400001,7704399.479039979
VI - Western Visayas,PF,1,982.2924297800996,722.7785555233273,1169214.21023,559182.6168400003,7704399.47903999
VI - Western Visayas,PF,10,5793.067292389557,4551.450025770706,1169214.21023,559182.6168399998,7704399.479040006
