district,hazard,rp,dk_tot,dw_tot,res_tot,dk_lim,dw_lim,res_lim,dk_sub,dw_sub,res_sub,ratio_dw_lim_tot,avg_reco_t,sub_avg_reco_t,non_sub_avg_reco_t,pct_subs
Anuradhapura,PF,25.0,300.1796140193303,704.960378499923,0.4258106174109799,,,,300.1796140193303,704.960378499923,0.4258106174109799,,2.9459009018962,,2.9459009018962,0.05678165211792582
Anuradhapura,PF,50.0,319.36214458614563,755.2839836313889,0.42283717317909936,,,,319.36214458614563,755.2839836313889,0.42283717317909936,,3.384871399187596,,3.384871399187596,0.05447554989389699
Anuradhapura,PF,100.0,358.48085359476727,850.992033604788,0.4212505398860767,,,,358.48085359476727,850.992033604788,0.4212505398860767,,26.94404118169707,,26.94404118169707,0.05936800840280146
Anuradhapura,PF,250.0,391.0711172891676,939.2557394945596,0.41636276558673374,,,,391.0711172891676,939.2557394945596,0.41636276558673374,,4.2216365003515115,,4.2216365003515115,0.06321795000591249
Anuradhapura,PF,500.0,405.54037680957697,982.3395425879004,0.41283116399978265,,,,405.54037680957697,982.3395425879004,0.41283116399978265,,4.819115002657489,,4.819115002657489,0.054387019643098874
Anuradhapura,PF,1000.0,455.6452439676133,1096.6401191975813,0.41549204337062906,,,,455.6452439676133,1096.6401191975813,0.41549204337062906,,3.596969062762057,,3.596969062762057,0.062323673663590984
Badulla,PF,5.0,157.59877134063206,489.4074852583994,0.3220195360465776,,,,157.59877134063206,489.4074852583994,0.3220195360465776,,6.0352696905472,,6.0352696905472,0.13304904606886062
Badulla,PF,10.0,180.66279815993818,560.6531103969106,0.3222363254741228,,,,180.66279815993818,560.6531103969106,0.3222363254741228,,8.245114974630429,,8.245114974630429,0.12837700535078672
Badulla,PF,25.0,205.67111328175562,619.7528849795432,0.3318598723240222,,,,205.67111328175562,619.7528849795432,0.3318598723240222,,5.880034499523218,,5.880034499523218,0.12695942491271997
Badulla,PF,50.0,213.41413549047712,666.1423904576734,0.3203731492659563,,,,213.41413549047712,666.1423904576734,0.3203731492659563,,4.095182244008362,,4.095182244008362,0.13922624441765385
Badulla,PF,100.0,221.43595282597695,682.0883169409103,0.32464410740692995,,,,221.43595282597695,682.0883169409103,0.32464410740692995,,6.211978762195599,,6.211978762195599,0.13684677912682222
Badulla,PF,250.0,239.08284958678956,718.9542676544623,0.3325425000491068,,,,239.08284958678956,718.9542676544623,0.3325425000491068,,5.925834893424239,,5.925834893424239,0.12667550424419408
Badulla,PF,500.0,241.15796385037495,723.0791790338667,0.33351529243670824,,,,241.15796385037495,723.0791790338667,0.33351529243670824,,6.697308115432114,,6.697308115432114,0.12709858676596783
Badulla,PF,1000.0,255.4780929584265,776.3943636076375,0.3290571195948766,,,,255.4780929584265,776.3943636076375,0.3290571195948766,,4.925832386037882,,4.925832386037882,0.1343994317577998
Batticaloa,PF,5.0,388.67943233666847,1859.6060000519003,0.20901171125809484,5.869017343312159,111.6268494156248,0.0525771118152749,382.8104149933563,1747.9791506362753,0.2190017054002108,0.06002715059669057,10.242144544899679,,10.242144544899679,0.18762399112787848
Batticaloa,PF,10.0,465.5545118377285,2174.6675528333963,0.21408077351002586,3.7474517402929886,78.37550487284271,0.04781406826498784,461.8070600974355,2096.292047960553,0.2202971005622617,0.036040223606006574,3.4042569885202227,,3.4042569885202227,0.1961797724094241
Batticaloa,PF,25.0,493.30241760015207,2346.99055912732,0.21018508816821846,2.2928819600778603,31.53018127143243,0.07272022765550354,491.0095356400742,2315.4603778558876,0.21205698026011924,0.013434302557721526,4.611794154420974,,4.611794154420974,0.20138298605045188
Batticaloa,PF,50.0,539.8928385104014,2468.512914417622,0.2187117739417516,3.3275735424303927,30.72151580676338,0.10831410674397203,536.565264967971,2437.791398610859,0.22010302656483452,0.012445353486842616,8.068369260347845,,8.068369260347845,0.19432872470880375
Batticaloa,PF,100.0,572.0893590383594,2776.919590732487,0.2060158172917983,4.730567180477369,98.0308829962856,0.048255886674575914,567.358791857882,2678.888707736202,0.2117888623814198,0.03530202434505038,123.99950324979756,,123.99950324979756,0.18847570821823495
Batticaloa,PF,250.0,586.6340992868354,2895.623209480977,0.20259338209683228,3.998569839673181,75.95185189198787,0.052646113821682716,582.6355294471623,2819.6713575889885,0.20663242468986012,0.02622988089172064,3.4772237636313874,,3.4772237636313874,0.19843553690483354
