,region,hazard,rp,hhid,helped_cat,affected_cat,province,pcwgt,ispoor,pcwgt_ae,pcsoc,axfin,has_ew,c,pov_line,dk_private,dk_public,dk0,pc_fee_BE,pc_fee,scale_fac_soc,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,macro_multiplier,dc_npv_pre,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta
295896,I - Ilocos,EQ,2000,15533115132,helped,a,Pangasinan,986.8856499999999,0,986.8856499999999,1332.3788311239505,0,1.0,127097.98,22302.6775,325589.78644965513,30262.92926199036,355852.7157116455,1341.2991149050747,136.84656701543386,0.03998039041732496,103852.63839182802,9647.946905261608,113500.58529708962,103852.63839182802,9647.946905261608,113500.58529708962,0.22222685880464058,3,15573.959716184301,5.63268004315001,639312.4816887622,37218.626563049686,0,0.0,0.005609971714342878,0.045446591865888744,0.0,0.0,0.0,True,254352.10143937485,19925.432882793553,118984.10193623637,9792.306195558776,81106.06453622889,3181.0606060391697,76206.47769522306,132730.34622845464,9792.306195558776,98921.82248642738
295902,I - Ilocos,EQ,2000,15533150492,helped,a,Pangasinan,1873.2195949999998,0,1873.2195949999998,6021.20675853116,0,1.0,106195.88000000003,22302.6775,273122.8817335362,25386.23382466278,298509.115558199,1068.3700416162696,55.64313639805206,0.03998039041732496,87313.43352867936,8093.236247705995,95406.66977638536,87313.43352867936,8093.236247705995,95406.66977638536,0.2546348756313134,3,15573.959716184301,5.63268004315001,537395.2448328491,37218.626563049686,0,0.0,0.006137283167589068,0.0286334518247496,0.0,0.0,0.0,True,205818.3884675697,17455.93970529642,99357.6845183236,5268.82731538271,65695.12480613451,2668.451148804049,60282.92850789354,112691.4682579705,5268.82731538271,81846.10167662913
295932,I - Ilocos,EQ,2000,15538272115,helped,a,Pangasinan,404.4451625,0,404.4451625,0.0,0,1.0,167323.52000000002,22302.6775,456201.9568962348,42403.07320840086,498605.0301046357,1784.5172860696573,92.94171016180566,0.03998039041732496,145439.06903749087,13518.2749625099,158957.34400000077,145439.06903749087,13518.2749625099,158957.34400000077,0.14713566170418035,3,15573.959716184301,5.63268004315001,895355.8592609353,37218.626563049686,0,0.0,0.004889354194047321,0.07769569866326018,0.0,0.0,0.0,True,387397.5903274735,24419.317565798672,156554.4457460005,21156.495871286563,123503.95265272925,4457.160924195597,119880.46612987985,176880.46692531763,21156.495871286563,132042.18647004003
295961,I - Ilocos,EQ,2000,15544130113,helped,a,Pangasinan,950.883975,0,950.883975,2201.5480481412046,0,1.0,93699.66400000003,22302.6775,249466.5397282856,23187.423436570185,272653.9631648558,975.8339387008948,50.823646150576714,0.03998039041732496,79618.98249499087,7392.246409762601,87011.22890475347,79618.98249499087,7392.246409762601,87011.22890475347,0.26234314215124477,3,15573.959716184301,5.63268004315001,490106.41258176224,37218.626563049686,0,0.0,0.006533726918544983,0.019285831396446254,0.0,0.0,0.0,True,186388.35306167352,15839.886057171942,87667.85654799685,3169.9670974747387,59450.398165980776,2437.32517136947,53807.075890305234,102704.78209290025,3169.9670974747387,71777.14684467434
295965,I - Ilocos,EQ,2000,15544130682,helped,a,Pangasinan,950.883975,0,950.883975,0.0,0,1.0,116768.34000000003,22302.6775,318364.9567707212,29591.395575729246,347956.35234645044,1245.3426822221948,64.86027315439672,0.03998039041732496,101496.06380892063,9433.859191079913,110929.92300000055,101496.06380892063,9433.859191079913,110929.92300000055,0.2028986432862649,3,15573.959716184301,5.63268004315001,624832.7634702704,37218.626563049686,0,0.0,0.005852850655228026,0.04626942409076203,0.0,0.0,0.0,True,254107.00314556417,18689.354512255566,109253.03716644585,9149.640621286508,81010.362657878,3110.4729462491932,76040.18815708219,127598.15434485581,9149.640621286508,90498.82238103589
295985,I - Ilocos,EQ,2000,15561609237,helped,a,Pangasinan,1078.11282,0,1078.11282,9992.84159147648,0,1.0,157404.48000000004,22302.6775,401912.8805755976,37357.01050998055,439269.8910855781,1572.1556473821497,81.8814340712046,0.03998039041732496,128531.00487406796,11909.56932223579,140440.57419630376,129920.95096157995,11909.56932223579,141830.52028381574,0.18840228880926285,2,15573.959716184301,5.3802100778721424,763077.9945808348,37218.626563049686,0,0.0,0.00504105517860129,0.034597065886403655,0.0,0.0,0.0,True,326000.68209879904,15401.394840164954,147268.25238048148,0.0,104062.09107252077,3926.7485795548764,99908.19220503063,161327.46686582526,9362.786432046501,131784.97610624533
295991,I - Ilocos,EQ,2000,15582406133,helped,a,Pangasinan,804.5942825,0,804.5942825,4859.019024162653,0,1.0,192677.89000000004,22302.6775,512081.84289464186,47596.99853258902,559678.8414272309,2003.1016673954055,104.32608081131585,0.03998039041732496,163448.07308578104,15174.119818896594,178622.19290467765,163448.07308578104,15174.119818896594,178622.19290467765,0.14219035278111497,3,15573.959716184301,5.63268004315001,1006121.6612378692,37218.626563049686,0,0.0,0.004556318288788399,0.08378233450127251,0.0,0.0,0.0,True,437245.65677444136,27114.93365703238,180274.28941801516,26072.708097455783,139459.7742210423,5003.115715830249,136382.2424898275,198554.35667859565,26072.708097455783,153055.02968017146
295995,I - Ilocos,EQ,2000,15594111283,helped,a,Pangasinan,2835.4125599999998,0,2835.4125599999998,5055.9014794658315,0,1.0,92787.56300000002,22302.6775,239197.4282361846,22232.929752791817,261430.35798897644,935.664433302655,48.73152714606477,0.03998039041732496,76459.26548048134,7087.949879087117,83547.21535956845,76459.26548048134,7087.949879087117,83547.21535956845,0.28427457995894717,3,15573.959716184301,5.63268004315001,470594.7326165972,37218.626563049686,0,0.0,0.006565761627433839,0.014057066718124518,0.0,0.0,0.0,True,174413.44930898846,15759.835841774911,86812.87360830801,2303.963711178483,55670.375691555135,2336.994425793095,49926.72267030322,99508.03271180704,2303.963711178483,71004.30623938704
296001,I - Ilocos,EQ,2000,128151107112,helped,a,Ilocos Norte,2146.0537050000003,0,2146.0537050000003,14.572893698855498,0,1.0,83201.97700000001,22302.6775,226807.66303752435,21081.325484524317,247888.98852204866,887.1996035641396,46.20736882394552,0.03998039041732496,72307.80285141637,6720.8136795496775,79028.61653096606,72307.80285141637,6720.8136795496775,79028.61653096606,0.27746311753713787,3,15573.959716184301,5.63268004315001,445142.9111717275,37218.626563049686,0,0.0,0.006933670074303908,0.00792511051895496,0.0,0.0,0.0,True,166635.70226891956,15139.315749443085,78544.02513691601,1174.314004027885,53124.34257885774,2215.944578310771,47259.6397101235,93494.90115464824,1174.314004027885,63358.50201864898
296010,I - Ilocos,EQ,2000,128164016357,helped,a,Ilocos Norte,458.3712,0,458.3712,2498.210306406685,0,1.0,110405.05000000002,22302.6775,294204.3738423958,27345.71698715527,321550.09082955105,1150.8341488295532,59.938054251299214,0.03998039041732496,93893.4495551609,8717.927577147984,102611.37713230889,93893.4495551609,8717.927577147984,102611.37713230889,0.22620694858198306,3,15573.959716184301,5.63268004315001,577977.0561732956,37218.626563049686,0,0.0,0.006019154989500881,0.03738133132355505,0.0,0.0,0.0,True,228819.5315385429,18849.13151565507,104222.79341016541,7070.0041543635925,72981.54383097886,2874.42046005082,67775.31684398468,119535.8848492773,7070.0041543635925,85313.72384025904
