region,hazard,rp,c,di0,dc_post_reco
ARMM,PF,1000,21340.802999999967,3651.411785511556,0.8126448116914444
ARMM,PF,1000,217936.58,21387.311744884355,0.0
ARMM,PF,1000,18579.625,3434.929701995465,3005.665283815695
ARMM,PF,1000,28168.06600000001,12771.420149640271,3470.225577964777
ARMM,PF,1000,40491.92200000001,11513.668096148684,95.13398846130735
ARMM,PF,1000,47652.73400000001,14634.778960783384,191.56302073450436
ARMM,PF,1000,32448.801,5290.13569898166,0.0
ARMM,PF,1000,27148.196999999996,2189.73328405923,0.0
ARMM,PF,1000,17948.328,2453.5573421836907,96.7124608323014
ARMM,PF,1000,20872.67799999999,1990.178262981393,0.07260235148859266
ARMM,PF,1000,15453.292999999969,3582.3681988889894,3119.7475449452245
ARMM,PF,1000,236120.69000000012,26827.35615875712,0.0
ARMM,PF,1000,78659.79700000005,8586.939365243166,0.0
ARMM,PF,1000,50589.066,4231.878396077877,0.0
ARMM,PF,1000,140935.58000000005,18974.66048200889,0.0
ARMM,PF,1000,24142.43600000001,6732.283480659842,101.05001178986902
ARMM,PF,1000,20699.721,8645.727219482373,7529.77596170853
ARMM,PF,1000,18379.77500000001,7638.6382242815735,6652.71574968123
ARMM,PF,1000,18344.682000000008,6363.906132345167,5542.5139027483565
ARMM,PF,1000,22801.00600000001,8638.745749424232,7523.738946295183
ARMM,PF,1000,15999.516000000005,6057.165383738266,5275.364320661943
ARMM,PF,1000,18754.285000000003,6316.443524360688,5501.177314944582
ARMM,PF,1000,68036.97700000001,11422.215115245372,0.0
ARMM,PF,1000,22240.632999999998,1518.3086775094193,0.0
ARMM,PF,1000,29673.542999999998,3825.781189181981,0.0
ARMM,PF,1000,30097.895999999993,10541.330203511303,412.62326776322226
ARMM,PF,1000,62615.32800000003,6710.445461302295,0.0
ARMM,PF,1000,74621.10900000003,5566.388576860807,0.0
ARMM,PF,1000,29568.06100000001,3456.4529731697057,0.0
ARMM,PF,1000,44617.312999999995,5403.69742638011,0.0
ARMM,PF,1000,64729.30900000002,7106.362496600808,0.0
ARMM,PF,1000,111140.91000000002,8646.620081274023,0.0
ARMM,PF,1000,49402.30100000001,5537.91257402672,0.0
ARMM,PF,1000,25535.25600000001,5203.198772391043,0.0
ARMM,PF,1000,17854.453000000005,6369.41262209917,5547.309667390734
ARMM,PF,1000,18049.627000000004,6465.758076734294,5631.219770820403
ARMM,PF,1000,21050.871000000006,6820.219686724308,5939.930861226797
ARMM,PF,1000,19140.492000000006,7415.104143670974,6458.033313492348
ARMM,PF,1000,21132.137000000006,8685.142943226321,7564.14763340475
ARMM,PF,1000,21142.00600000001,4697.229977539467,28.61371589098366
ARMM,PF,1000,27279.287000000004,8990.869868463396,298.1169144140383
ARMM,PF,1000,23346.767999999996,6911.3898418438375,245.04273206515018
ARMM,PF,1000,19313.260000000006,6564.8458613208495,5717.518250440046
ARMM,PF,1000,37827.42200000001,5824.970892099536,0.0
ARMM,PF,1000,39478.04700000001,6245.828214801108,0.0
ARMM,PF,1000,31803.641,2433.466518365529,0.0
ARMM,PF,1000,40550.086,6523.440987790378,0.0
ARMM,PF,1000,26021.849999999995,5581.512022474331,0.0
ARMM,PF,1000,39276.79299999998,6526.92628084518,0.0
ARMM,PF,1000,27355.366999999995,2313.692081308564,0.0
ARMM,PF,1000,59169.49600000003,10979.909208562018,0.0
ARMM,PF,1000,52427.59800000001,4920.353259714294,0.0
ARMM,PF,1000,60632.23,6408.51516591046,0.0
ARMM,PF,1000,20574.4839999999,3606.0354072938812,1.859251566935978
ARMM,PF,1000,29654.223000000005,8903.779818703817,0.0
ARMM,PF,1000,49582.765999999996,4060.887981518332,0.0
ARMM,PF,1000,36033.031,5966.891636982801,0.0
ARMM,PF,1000,26691.490000000005,5284.1732124103255,0.0
ARMM,PF,1000,74134.26600000003,11158.341521100076,0.0
ARMM,PF,1000,40324.543,4963.842313728405,0.0
