,district,hazard,rp,level_0,hhid,helped_cat,affected_cat,pov_line,ispoor,pcwgt,pcsoc,c,k,dk_private,dk_public,dk0,pc_fee,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta,scale_fac_soc
28,Ampara,PF,5.0,28,52102059031,helped,a,43493.30859375,0.0,2.4314791742801813,0.0,71505.18081684581,217640.45206898887,16304.268946568734,0.0,16304.268946568734,0.0,5356.723384958453,0.0,5356.723384958453,35158.3819887208,0.0,35158.3819887208,1.9886597388144602,2,36346.798828125,0.0,0,0.0,0.00747930495358376,0.01844955021783313,-1,0.0,0.0,True,11167.003488417782,2280.818429703578,5958.765068070484,12042.660290632452,3812.1981440764816,0.0,3812.1981440764816,26887.00407357985,12042.660290632452,276.218572432803,1.7916935127540214e-05
29,Ampara,PF,5.0,29,52102059041,helped,a,43493.30859375,0.0,4.0524652904669685,0.0,81725.26410679494,248747.33861899434,33681.247031678664,0.0,33681.247031678664,0.0,11065.882450812094,0.0,11065.882450812094,44930.93977631971,0.0,44930.93977631971,1.0054573482287064,1,36346.798828125,0.0,0,0.0,0.006996032676754663,0.031459086129295315,-1,0.0,0.0,True,27749.323874889735,3078.997192246262,6810.438675566245,21480.479756450535,9295.309854945162,0.0,9295.309854945162,37741.86190312569,21480.479756450535,306.3226499545903,1.7916935127540214e-05
30,Ampara,PF,5.0,30,52102059051,helped,a,43493.30859375,0.0,1.6209861161867876,150.0,100858.7011452491,306527.26298855053,67099.93597165795,0.0,67099.93597165795,0.0,22045.505370397634,0.0,22045.505370397634,59818.45682242622,0.0,59818.45682242622,0.5629357301918043,1,36346.798828125,0.0,0,0.0,0.006297574445849965,0.042167686324132876,-1,0.0,0.0,True,60202.72584719192,3875.6989346043492,8404.891762104091,33182.006585326206,19995.15149090051,0.0,19995.15149090051,54255.01002428468,33182.006585326206,400.38197806376695,1.7916935127540214e-05
31,Ampara,PF,5.0,31,52102059061,helped,a,43493.30859375,0.0,3.241972232373575,1249.999969482422,57804.29008980555,172134.41227508624,23933.68352174912,0.0,23933.68352174912,0.0,7863.373691121386,0.0,7863.373691121386,21457.491261680552,0.0,21457.491261680552,0.6680719449494477,2,36346.798828125,0.0,0,0.0,0.00831859459825265,0.02079228029778919,-1,0.0,0.0,True,21254.889948591644,2786.605982479262,4817.024174150462,10792.774543597607,7073.7301925797265,0.0,7073.7301925797265,21457.491261680552,10792.774543597607,202.83629751907262,1.7916935127540214e-05
32,Ampara,PF,5.0,32,52102059071,helped,a,43493.30859375,0.0,2.4314791742801813,0.0,94081.69105696894,286356.6183477122,35145.74066273443,0.0,35145.74066273443,0.0,11547.037865158356,0.0,11547.037865158356,51103.579348774554,0.0,51103.579348774554,1.1255002949918937,1,36346.798828125,0.0,0,0.0,0.006520448035778217,0.029413817487339313,-1,0.0,0.0,True,28293.837737780643,3503.5211683059665,7840.140921414078,23435.119951600263,9499.654985445592,0.0,9499.654985445592,42042.502848243916,23435.119951600263,349.80336799823186,1.7916935127540214e-05
33,Ampara,PF,5.0,33,52102059081,helped,a,43493.30859375,0.0,3.241972232373575,0.0,75890.76029783556,230988.84850577163,31744.921681528864,0.0,31744.921681528864,0.0,10429.708003615051,0.0,10429.708003615051,39543.96146971056,0.0,39543.96146971056,1.0119040715899912,2,36346.798828125,0.0,0,0.0,0.007259981997559126,0.029848279144783177,-1,0.0,0.0,True,26243.63484124666,2675.5284340935,6324.23002481963,19127.87924059135,8792.034780050733,0.0,8792.034780050733,35870.924335489646,19127.87924059135,315.90781583588745,1.7916935127540214e-05
34,Ampara,PF,5.0,34,52102059091,helped,a,43493.30859375,0.0,2.4314791742801813,0.0,133528.55686287096,406421.11729208345,39235.897771617565,0.0,39235.897771617565,0.0,12890.847900745342,0.0,12890.847900745342,70709.11398055287,0.0,70709.11398055287,1.4736062984044183,1,36346.798828125,0.0,0,0.0,0.0054732201605824605,0.024521409132937915,-1,0.0,0.0,True,29537.488046411985,4788.2602985096455,11127.37973857258,28657.079423164134,9983.951262518367,0.0,9983.951262518367,54764.151530860734,28657.079423164134,488.18716879297415,1.7916935127540214e-05
35,Ampara,PF,5.0,35,52102059101,helped,a,43493.30859375,0.0,4.862958348560363,0.0,79044.18222716647,240586.924707016,22815.866236392536,0.0,22815.866236392536,0.0,7496.09103094984,0.0,7496.09103094984,41787.08188177856,0.0,41787.08188177856,1.5029449460977615,1,36346.798828125,0.0,0,0.0,0.007113691715146475,0.024162611617123096,-1,0.0,0.0,True,17079.371896416473,2825.1714274551655,6587.015185597206,16756.754221656352,5776.254126357878,0.0,5776.254126357878,32199.82296793069,16756.754221656352,288.6571843129012,1.7916935127540214e-05
36,Ampara,PF,5.0,36,52102060011,helped,a,43493.30859375,0.0,1.8010988102314913,0.0,105491.44572760709,321084.5098955219,22284.261156398876,0.0,22284.261156398876,0.0,7321.433622335145,0.0,7321.433622335145,54371.56355096744,0.0,54371.56355096744,2.1113614491599133,1,36346.798828125,0.0,0,0.0,0.006157740367626415,0.017957771689748075,-1,0.0,0.0,True,14836.157419390907,3527.4205925940696,8790.953810633924,17353.09751891781,5076.764329458187,0.0,5076.764329458187,37701.85302648159,17353.09751891781,377.49843795982423,1.7916935127540214e-05
37,Ampara,PF,5.0,37,52102060021,helped,a,43493.30859375,0.0,2.701648215347238,0.0,76291.96779815528,232210.00452195894,30053.639015184075,0.0,30053.639015184075,0.0,9874.041666223662,0.0,9874.041666223662,39945.168970030274,0.0,39945.168970030274,1.0818615369800386,2,36346.798828125,0.0,0,0.0,0.007240867280425336,0.029081444481762947,-1,0.0,0.0,True,24476.471590230736,2686.674188506243,6357.6639831796065,18830.64790467192,8211.067476285822,0.0,8211.067476285822,35248.995770608126,18830.64790467192,309.3160430714488,1.7916935127540214e-05
