district,hazard,rp,hhid,affected_cat,helped_cat,index,c,c_min,const,dc0,dc0_prv,dc0_pub,dc_net,dc_t,di0_pub,di_prv_t,di_pub_t,di_t,dk0,dk_private,dk_prv_t,dk_public,dw,dw_curr_no_clip,hh_reco_rate,integ,intermed_sf_num,optimal_hh_reco_rate,pc_fee,pcsoc,pcwgt,pov_line,sav_delta,sav_f,sav_i,sav_offset_to,scale_fac_soc,t_exhaust_sav,t_pov_cons,t_pov_inc,t_start_prv_reco,welf_class,wprime_hh,dw_curr,dw_tot
Gampaha,PF,10.0,12101137041,a,helped,60744,35444.649164676404,36346.798828125,0.01062318279827093,28134.81866931973,28134.81866931973,0.0,28134.82,28134.82,0.0,28134.82,0.0,28134.82,85634.0,85634.0,85634.0,0.0,0.055453822045346574,3706708.361745401,0.0,7.437692673889768,645400.735012606,0.045,,0.0,7.536734649935844,43493.30859375,0.0,2.8421709430404007e-13,2953.72,0.0,7.0216485764912485e-06,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,1.498559450950615e-07,2601519.0964166955,19606959.116433498
Gampaha,PF,250.0,12101137041,a,helped,69364,35444.649164676404,36346.798828125,0.01062318279827093,29588.31188221497,29588.31188221497,0.0,29588.31,29588.31,0.0,29588.31,0.0,29588.31,90058.0,90058.0,90058.0,0.0,0.055453822045346574,4505743.121724109,0.0,9.040995227122878,1143003.2004869357,0.035,,0.0,12.691856364642073,43493.30859375,0.0,3.126388037344441e-13,2953.72,0.0,1.1233127700664813e-05,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,1.498559450950615e-07,2601519.0964166955,33018106.70159413
Gampaha,PF,500.0,12101137041,a,helped,71519,35444.649164676404,36346.798828125,0.01062318279827093,27145.234230522165,27145.234230522165,0.0,27145.23,27145.23,0.0,27145.23,0.0,27145.23,82622.0,82622.0,82622.0,0.0,0.055453822045346574,3287950.599776371,0.0,6.5974346243288,1111380.9507837405,0.055000000000000014,,0.0,13.451392495748596,43493.30859375,0.0,-6.821210263296962e-13,2953.72,0.0,1.0441460222667427e-05,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,1.498559450950615e-07,2601519.0964166955,34994054.45108621
Hambantota,PF,5.0,33207001101,a,helped,76233,29040.66894656925,36346.798828125,0.01173617799761896,23567.35423765844,23567.35423765844,0.0,23567.35,23567.35,0.0,23567.35,0.0,23567.35,71732.0,71732.0,71732.0,0.0,0.055453822045346574,4441695.223248831,0.0,8.067268910386373,1962521.820053469,0.045,,0.0,27.359084091527755,43493.30859375,0.0,-3.126388037344441e-13,2420.06,0.0,3.1691887971543527e-06,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,2.0206452577266518e-07,2601519.0964166955,71175179.72457968
Hambantota,PF,5.0,33211033041,a,helped,76440,31027.43210540065,36346.798828125,0.011354214086190355,25054.03072688786,25054.03072688786,0.0,25054.03,25054.03,0.0,25054.03,0.0,25054.03,76257.0,76257.0,76257.0,0.0,0.055453822045346574,4216595.675324691,0.0,7.916064907705443,2781756.755861891,0.045000000000000005,,0.0,36.47870694968188,43493.30859375,0.0,-1.1368683772161603e-13,2585.62,0.0,3.1691887971543527e-06,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,1.829705733884119e-07,2601519.0964166955,94900052.74218583
Hambantota,PF,10.0,33207001101,a,helped,77116,29040.66894656925,36346.798828125,0.01173617799761896,20255.26900275861,20255.26900275861,0.0,20255.27,20255.27,0.0,20255.27,0.0,20255.27,61651.0,61651.0,61651.0,0.0,0.055453822045346574,2781119.4751138645,0.0,5.05123326792457,1959339.445337722,0.07500000000000001,,0.0,31.781146215596213,43493.30859375,0.0,-4.831690603168681e-13,2420.06,0.0,3.0645677284710444e-06,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,2.0206452577266518e-07,2601519.0964166955,82679258.78588474
Hambantota,PF,10.0,33211036071,a,helped,77334,38028.39546684644,36346.798828125,0.010255952360698857,28253.095693877214,28253.095693877214,0.0,28253.1,28253.1,0.0,28253.1,0.0,28253.1,85994.0,85994.0,85994.0,0.0,0.055453822045346574,2893233.5803061905,0.0,6.013287502159519,2429317.7826567446,0.065,,0.0,28.24985211359798,43493.30859375,0.0,2.8421709430404007e-13,3169.03,0.0,3.0645677284710444e-06,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,1.3484597804869395e-07,2601519.0964166955,73492529.7444727
Hambantota,PF,50.0,33207001101,a,helped,78882,29040.66894656925,36346.798828125,0.01173617799761896,20450.42609327845,20450.42609327845,0.0,20450.43,20450.43,0.0,20450.43,0.0,20450.43,62245.0,62245.0,62245.0,0.0,0.055453822045346574,2851582.38237807,0.0,5.1792121571857255,2508766.606785996,0.07500000000000001,,0.0,40.3047089209735,43493.30859375,0.0,2.5579538487363607e-13,2420.06,0.0,4.762851716789717e-06,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,2.0206452577266518e-07,2601519.0964166955,104853469.93342891
Hambantota,PF,50.0,33211033041,a,helped,79089,31027.43210540065,36346.798828125,0.011354214086190355,24827.990191066903,24827.990191066903,0.0,24827.99,24827.99,0.0,24827.99,0.0,24827.99,75569.0,75569.0,75569.0,0.0,0.055453822045346574,4077935.088676484,0.0,7.655749172319408,4061040.733690422,0.045,,0.0,53.7395060632061,43493.30859375,0.0,-3.410605131648481e-13,2585.62,0.0,4.762851716789717e-06,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,1.829705733884119e-07,2601519.0964166955,139804351.25543147
Hambantota,PF,50.0,33211036071,a,helped,79100,38028.39546684644,36346.798828125,0.010255952360698857,30259.862543869094,30259.862543869094,0.0,30259.86,30259.86,0.0,30259.86,0.0,30259.86,92102.0,92102.0,92102.0,0.0,0.055453822045346574,3609874.0021253275,0.0,7.502750683217746,3299677.324955606,0.045,,0.0,35.826337375470736,43493.30859375,0.0,-5.684341886080802e-14,3169.03,0.0,4.762851716789717e-06,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,1.3484597804869395e-07,2601519.0964166955,93202900.83695431
